label,tweet
anger,"Jadi waktu dulu ada yang ember ngasitau ke orangnya kalau kita suka ama dia dan brusaha ngomporin supaya dia jangan sampe suka ama kita. Duhh pdhl kalau kita mau bales mah situ sudah masuk penjara kalii, sbagai otak pencurian hp temen sendiri di choir"
fear,"HUAAAA TAKUT BGT WOI GW PENAKUT AKUT. KAGETAN PARAH. TERIAK BISA PALING KENCENG KALI. makasih ojan, ibad, haekal, imam yang bikin aku takut malem ini"
happy,"Via nulis dude Dude kan bukan pemain bola  Twitter receh, IG receh, kelen semua emang kembalian mini market, recehhhhh."
anger,Dr minggu kmrn menyebalkan.. eh hri ini lagi ada tambahan.. janjian jam 10 eh lah kok malah jek antri nang BRI iki piye to..? Ku kesel deeh..
anger,"Wa udah setua ini, masih ada aja temen SMA yang suka nyinyir ""kamu kok kuliah ambil soshum sih, sayang banget ilmu ipa selama SMA"", pengen wa jitakin..."
happy,"Coba, sekarang ditambah lagi ya belajar ikhlasnya. Iya emang sulit, tapi kalau belajar lama kelamaan pasti bisa. Belajar kayak waktu kamu kecil dulu. Cuma bedanya sekarang udah tau umur. -papski"
happy,"dulu tiap hari main game mulu, ngomong2 kasar, mau jadi apa?! sekarang tiap hari main game mulu, ngomong2 kasar, mau jadi apa?! yutuber gaming :') #recehkantwitter"
fear,sejak kapan saya ngfolow dia dan semenjak kapan saya di folow back ini aneh
love,"sekarang kalo lihat yang lagi kasmaran ngomong soal cinta, aku cuma bisa nyengir dalam hati ""belum tau rassanya kalo sudah punya baby XD"" bisa berjuta kali lipattttttttttttttttttttttttt ngerasain cinta dr yang anda rasakan saat ini :D"
love," Wajah yang terkasih dipuja lagi. Pipi yang sedikit tirus diusap lagi. Mata yang terpejam itu dikecup lagi. Ia membenarkan orang bahwa, ""Cinta itu buta."" "
love," jungkook. firstly, gue di hasut temen gue kalo di bts gada yang ganteng, yang ganteng cuman jungkook. lah gue iyain aja tuh, trus gue fokus ke jk lama2 cinta wkwk"
sadness,"ku sudah prepare semaksimal mungkin pake recehan khas anak sekolah macem aku  tapi aku orgnya ga bisa boongan kalau keluarga lagi butuh. yaudah aku kasih semua yang aku punya, toh mereka juga janjiin bakal balikin. tapi ekspektasi kan kadang suk"
fear, Masa kecil yang pling diingat itu kalau Barangkt sekolah itu mnta diantar ibuk terus karena takut kesekolah sendian dan harus dibelikan Permen dlu biar mau berngkat gt dech scra gue orang pendiem dan takut kpd teman #MasaKecilkuAsik  
anger," Napa ya kebanyakan orang kalo gak dibales atau late rep pasti nanya ""udah punya pacar ya?"" ""udah taken y?"" elah pacar mulu di otaknya sbl w"
love,terkenal dengan kegiatan blusukan ke pasar-pasar atau gang-gang sempit. Tujuan Presiden RI ini semata-mata agar dapat berinteraksi langsung dengan masyarakat Indonesia. #JokowiSekaliLagi
love,Happy mansive Daddy wah udah 1 bulan aja. Aku beruntung banget dapetin daddy dan makasih atas selama 1 bulan yang udah kita jalani daddy udah buat aku selalu senyum. Aku sayaaangg banget sama daddy ga ngerti lagi sayang nya gimana.. Intinya I LOVE YOU!
sadness,"kalau gabisa ngurus anak gausah punya anak sih ya Allah kasian banget gue gak tega anak disiksa kayak gitu. gue kalau udah punya anak nanti bakalan gue sayang banget :) kenapasih harus melakukan kekerasan padahal anak kan titipan Allah, harus dijaga. kalau salah ya dikasih tau baik baik."
happy,"eung . . aku si termasuk zonkies n receh ppl , aku punya ratusan meme yang neomu unfaedah tapi bisa bikin orng lain smiley hehe. aku juga orngnya spammer , bawel , sayang-able /.\ ..) aku bisa cute bisa engga ko, seriously aku ngga bohong. ht"
happy, Enggak pernah beli barang mahal Lebih happy cari yang sesuai budget tapi lebih hati hati dalam pemakaian biar bisa awet lama. Dan baru ganti ya kalo ilang/rusak.
fear,Sulitnya menetapkan Calon Wapresnya Jokowi di Pilpres 2019 salah satunya disebabkan gemuknya partai koalisi yang mengusung petahana. Sehingga sikap kehati-hatian agar tidak ada yang terluka dari partai pengusung harus tetap dijaga #Pilpres2019 #Pilpres #Jokowi #Parpol
sadness,Krn tidak memenuhi kuota medan cancel ya sayang.. Mohon maav yang sebesar besarnya Tiket mehong kalau cuma 4 ekor gak cucok Hari ini nia refund DP buat medan ya 4 bagi yang udah DP mohon konfrmasi buat pengembalian dana Sekali lagi  mohon maav yang sebesar besarnya
sadness,"Setiap mau ngeluh, mau protes sama hidup (and every problem in it) jadi malu sendiri karena ternyata too many blessings yang kelewat buat disyukurin"
sadness,"Omelette Mie ter-pas banget, texturenya pas, gak ancur, masih renyah digigit, tapi lembut pas dikunyah, rasanya pas, gak greasy, matengnya pas. Tapi biasanya yang pas ketemunya diwaktu yang gak pas sih :') "
fear,"#KKNLYFE DAY 02 Paginya leyeh-leyeh, pas air galonnya abis, jadi panik. Kudu isi ulang galon naik turun gunung dengan jalan yang Subhannallah, dan waktu tempuh sekitar 1jam pulang pergi. Ampir jatoh ke jurang gegara tanjakan ngeri dan jalannya rusak."
sadness,"Wah kalo gt anda sudah menormalisasi bentuk pelecehan terhadap diri anda sendiri dong ya, bisa micu bentuk pelecehan yang lebih besar tu mba. Anda secara ga sadar sudah mendukung para pelaku pelecehan di luar sana. Selamat ya"
anger,"Duh ini teman kantor udah minta tukar shift dadakan,nelpon udah jam 9 baru nelpon.gue jadi bak bik buk gak jelasss.!masihh ada aja temen yang tololnya di makan semua"
anger,"... serioulsy. Ketika ada yang speak up kalau dilecehkan, jangan jahat, jangan julid. Apalagi sesama cewek. Buset deh komennya ancur-ancur banget"
love,Nyampe rumah alhamdulillah teryata bapak suami udah masak capcay dan bihun goreng sebelum berangkat kerja tadi pagi. Kayak gini nih yang bikin selalu cinta
happy,"Ndk apa2 miss, semangat bawa mereka untuk konser selanjutnya ya. Dan terima kasih prjuangannya tahun ini, Semangat Miss kita semua menunggu"
fear,Dear  kenapa statusnya begitu y? Padahal selama ini pesen dr marketplace tsb alamat lengkap banget selalu sampe. Ini salah dmn ya? 
fear,[AskMF] kenapa ya gua takut banget kalo mau ngmg atau muncul di grup gituuuu. Bener2 panik gituu kalo harus muncul di grup. Gimana cara ngehilangin nya ya
happy,  Kalo kita punya tiket Tiket apa yang paling bisa buat orang bahagia.... Tiket ketemu @8rianna_  #IniSahurTIKETCOMHariKe20 
fear,"Bahkan sampe sekarangpun, gue takut dan stress kalo ketemu orang. Gatau kenapa. Butuh momen nenangin diri lama untuk ketemu orang yang ga gue kenal, atau bahkan yang gue kenal. Butuh latihan bertahun2 biar bisa pura2 oke. Ke dokterpun gue masih takut."
sadness,"Hari minggu suka bolos ke gereja hanya karna nobar power rmarahs dirumah teman sampe rumahnya penuh, kadang cuma bisa denger gabisa liat filmnya, miris... #OldMoneyGakNgerasain"
happy,"Pa suhada : CY (cleaning yard) di pt duduk manis digenggamnya Teh pucuk. Dia bilang gini ""Tuhan juga tau kerjaan gua gimana"" Ya allah ngakak bgt"
love,teringat lagi masa dan kisah ku dulu saat tubuh masih terselimut putih abu yang baru kusadari pada saat itu bahwa cinta pertama menghampiriku
fear,"Anda ingin merasakan cinta terindah..? Ketahuilah tiada cinta lebih indah dari cinta pada kekasih, Sayyidina Muhammad SAW.. Saat bibir anda bershalawat pada beliau, lalu hatipun bergetar terpapar cinta tidak bertepi sang Nabi pada kita, tulus, suci & tidak lekang sampai Kiamat"
happy,#OldMoneyGaNgerasain itu mengingatkan masa kejayaan tahun 90an dan beruntung bisa ngerasain jadi anak pada jamannya. Semua tweet isi kekonyolan itu udah aku rasain juga.
anger,  Banyak yang tolol di didik untuk jadi kacung ..mengerti ibadah puasa tapi takut laparrrr!!!. Cara Rakyat memiliki dan menikmati tanahnya hanya lewat liang lahatnya ...!!
sadness,"soalnya dulu lupa taun brp aku pernah coba main ask fm, ngga ada sebulan aku nyerah dan memutuskan untuk ... ngga, makasih aku ngga bakal balik ke sosmed ini lagi thanks."
fear,"sayang, janganlah kau waton serem"
fear,"Terlalu naif jika berbicara patah hati, tapi terlalu munafik jika tidak merasa terluka. Pilihan utk menikah, msh membuat bulu kuduk saya merinding. Di pikiran saya, laki2 msh bgtu menyeramkan & membuat hati merasa sesak. Entahlah kepercayaan, kesetiaan, dan cinta seolah sudah mati."
happy,lagu ini kayaknya lagi hits sangat ! memang enak sih ensenang just give me a reason by p!nk (at kara's rom)
happy," Alhamdulillah Pie,,di RSUP Kariadi ini bener2 diurus, jadi sudah gak panas tinggi lagi soalnya langsung dikasih Paracetamol yang botolan"
happy, Jadilah orang yang yakin karna keyakinan pasti mengguncangkan pola pikir yang ragu dengan banyak pertanyaan dalam pola pikir dan jiwanya. Bacalah!!!! Dengan Nama Tuhan yang menciptakanMu 
love,"Seringkali kita luput menyadari, betapa banyaknya kita meminta cinta dri orang lain betapa bnyknya kita mminta perhatian dri orang lain, tapi betpa sedikitnya kita memberi cinta dan perhatian pda orang lain #fiersabesari"
happy,ngakak banget yaallah next time kita adain MnG part 2 ya wkwkwk engga ih ga buluk tetep cantik koo yuhuu luvsss
happy,"Rajin hadirkan diri dengan majlis ilmu, supaya kita blh mantapkan lagi diri kita. Ilmu akan jadi perisai diri kita. Ilmu dan akhlak kena seiring. . Jgn lupa selalu berdoa yang baik.. utk diri sendiri dan orang lain. . terus istiqamah menuju ke arah kebaikan"
fear,"Nah, td kebelulan setorannya ke bpd rumah sakit karna trauma kejadian di bpd cabang. tapi ternyata ketemunya itu satpam kurang ajar. sudah ngeper duluan takut ingin ku berlari saja rasanya."
happy,"Alhamdulillah Kembali ke kota pahlawan dalam rangka mendampingi teman2 peserta diklat , Smg mndapatkan inspirasi yang trbaik sebagai bekal fase kediklatan berikutnya...."
love,"aku memilhmu bukan karna aku sayang kamu. Dan bukan pula karna aku mencintai kamu. Tetapi,aku memilih kamu karna hati dan jiwa serta ""diriku"" sendiri mencintaimu."
anger,"Harus beburu cari provider baru, mifi baru.  udah kek siput jaringannya. Setiap jam 12 malem pasti gangguan, suruh tunggu 4 jam kedepan. Ehhh aisia kuota peuting ainggg gunana naonnnnnnn"
love,"Habis diem, cemberut, rewel.... Lihat tante jalan dari luar mau masuk rumah udah senyum"", mulai ceria, nempel terus di tinggal bentar nyariin nte putput... Tante pulang diem lagi, nangis nyari nte putput.... Kangen bngt ya dek"
happy,enak dong enak tuh p hapy lunch late
fear,"Okay makin kesini makin yakin untuk segera pindah, dari kata2 bisa jadi kenyataan, bahaya nih, harus bener2 perhatiin sama omongan, takutnya kejadian."
happy,          Keren banget bu menteri disinergikan lintas cinta alam sukses selalu smoga barokah
anger,"Dear wanita yang anggap speak upnya Via Vallen itu norak/kampungan, sbnrnya mungkin anda itu yang patut dikasihani, krn mungkin anda dl pernah dilecehkan namun krn anda ga berani speak up, nah nobody cares for you. Its your own fault and dont blame others for your lack of empathy"
love,"Walaupun kita jauh secara fisik, kita tahu kita selalu bersama. Walaupun kita tidak mengatakan Aku cinta kamu, kita tahu kita mencintai satu sama lain. Walaupun kita tidak mengatakan kita satu, kita tahu kita adalah satu."
anger,"heii..hey km para kaum adam hr gini msih mau aj Trnsfer""/ DP""sedihh kan klw di block stelah Tf...mk ny yang Real"" aja klw mw ktmuan sma kaum hawa...hihiiihii"
love,"inti dari thread ini sebenernya adalah mau ngucapin selamat tanggal 25 yang ke 7 buat kamu yang udah mau berbagi rasa sayang dan selalu sabar ngadepin saya, dan saya baru nyadar ternyata kamu juga termasuk kado natal yang saya minta dari tuhan dulu.  "
happy,"Jangan lupa bahagia hari ini. Cukup jalani hidup dengan penuh bahagia. Ketika ada hal yang buat kamu sedih, senyum. Harus senyum :). Angkat kepala, biar mahkotamu tidak jatuh."
sadness,"kata , ku jangan banyak kasieun.. ku jangan cemen,,kudu setrong... apakah ku harus mendeklarasikan hastag #SizzyHarusKuat lagiiihhh???"
happy,"Happy Pendadaran  kamu hbs ini kerja yang di kantoran aja ya, jangan yang turun ke lapangan panas-panasan. Aku takut kamu tambah item. "
fear,Semoga semakin paham dan semakin takut kepada ALLAAH SWT. Aku berlindung kepada ALLAAH SWT. dari godaan setan yang terkutuk. 
anger,   Budayakan mencari dan membaca sebelum nanya ya. Udah pernah dijelaskan berkali2 kok :) 
anger,Yang ditanyakan lagi nanti ada di dalam artikel itu  Terus kalo gak puas bikin deskripsi sendiri di hujat hujat sendiri .
fear," aku beneran nangis tadi pas pulang flo :"" untung ga sefakultas jadi tempat keluarnya beda, terus aku pake kacamata biar dia gakenal gt :""( beneran takut"
happy,"Ketemu orang yang duduk sampingan di pesawat waktu balik mks di tempat check in.. Kalau dia beruntung duduk lagi sampingan, berarti diami... Yg duduk di kursi pesawat. Apakah?"
fear,Ini komprenya perkelompok satu jam kah? Asaan yang kelompok minggu kemarin maju katanya cuma sebentar gasampe setengah jam Lah ini sudah mau satu jam Bikin degdegan woii:(((
happy,"Sahabat semua, terimakasih atas dukungannya untuk Fariz, putra Winarni. Dalam dua hari sdh terkumpul Rp 90 jt lebih. Fariz sengaja berfoto ganteng sore ini utk menyampaikan terimakasihnya. Ayo terus bersonasi lewat    "
anger,"Total duit diorang hampir mau 600 jt. yang ngutang pada punya otak ga yahhh...ditagih pura2 mati, ada yang mati duluan, anaknya ngemis2 bingung ngembaliin nya sudah gitu dia masih kuliah. ditagih nunggu dia kuliah, terus kerja, nyampe gue punya cucu tu utang baru kelar mungkin tong"
happy,"Setelah seharian tanpa kabar, si Bapak tau2 malem2 telpon cuman buat ngecek udah tidur apa belum. Ngobrol ketawa2 sejam trus pamit tidur. Padahal tadi nomornya udah gue block trus gue unblock gara2 gak tega."
love,Jangan berjalan di belakang ku karna kamu bukan buntut ku. Berjalan lah di sampingku karna kau sahabatku #quotesoftheday
sadness,Keinginanku utk membeli ini itu seketika terhenti krn 1 kalimat Emang punya duit? Cuma nyokap doang yang bisa ngomong gitu krn gmn ea kan beli pake uang jajan dari siapa
happy,"Yeeeaaayyy.. siap2 buat lebaran buat mamak klaten. Alhamdulillah.. (@ Swiss-Belboutique Yogyakarta in Gondokusuman, Daerah Istimewa Yogyakarta)"
happy,"Sebagai dokter gue punya kelegaan tersendiri kalau pasien, terutama yang menengah ke bawah, punya BPJS. Karena itu artinya seandainya mereka harus dirujuk, misalnya, gue ga perlu stres sama pertimbangan keuangan."
happy,gp sudah hitam manis laku pula dari pada cuma ngaku2in pacar orang yeh
sadness,"Sesedih ini kah jauh dari yang bener bener sayang sama kita. Aku di pindahkan lagi di kelas bawah lantai 1. Dan sendiri tanpa teman susah kalau lagi sedih, lagi happy, cerita pun gak bisa."
sadness, ku coba untuk terus berlari di jalan panjang yang kutemui ku coba tuk bertahan tapi ku tidak bisa ku coba tuk lupakan tapi ku tidak sanggup ku tidak mau akhiri cerita cinta kita berdua begitu saja begitu saja... bayangmu selalu ada di pikiranku ku
fear,"guys aku lagi deg degan parah, takut ga bisa ambil 24sks smt ini, udah tinggal 1 matkul lagi yang mau keluar tapi aku ga yakin soalnya ngerasa zonk banget dosen sm uasnya biar ga takut gimana ya kepikiran terus ga enak"
sadness,"Setelah nangis mewek gak karuan gegara galau pulang apa enggak, akhirnya gue mutusin tuk gak pulang lagi. Kasihan emak dan ayah gue. Mudik mahal Cooy"
anger,"Mahkamah Konstitusi : Dear  : *Hapus Ambang Batas Nyapres, Rakyat Mau Banyak Pilihan* - Tandatangani Petisi!  lewat "
anger, sulitlah dipercaya ocehan si rusdi nasution penjaga toko mas  kimak tukang bikin hoax ini.. Tarkul aja sana ko lae nasution
sadness,"Separuh hati ini iri jika melihat seorang anak yang masih bisa duduk atau berjalan bersama ibundanya, dan separuh hati ini turut berempati melihat seorang anak yang begitu gundah saat ibundanya sakit. Yang sabar ya kawan, semoga Allah memberikan yang terbaik untuk kita semua."
happy,"Ini adalah kisah blusukan Presiden Jokowi yang saya ikuti di mana beliau mendatangi masyarakat, menyalami mereka, bertanya dan mendengarkan yang mereka rasakan, menindaklanjuti kepada pihak terkait, sehingga satu persatu masalah bisa diselesaikan. #JokowiSekaliLagi"
anger," Hendaknya masing-masing umat jangan sok lebih pintar masalah keyakinan,iman kepercayaan,tidak segampang ini bicara rohani karena itu ada di aliran darah hidup kita.Banyak membaca terus belajar sampai kiamat itu benar-benar menjemput kita."
sadness,"Udah buru2 pulang biar bisa nonton ""The Clash of Titan"" eehh.... Serena memutuskan retired karena cedera otot lengan. Ya gimana lagi...kesehatan adlh yang utama kan. Setelah ini udah jelas, i'm rooting for Maria Sharapova. #RolandGarros18 "
sadness,"setelah saya melawan perasaan, saya baru paham sampai mana titik itu ditentukan. tidak baik rasanya menyalahkan seseorang yang mempersilahkan masuk, saya lebih memilih menyalahkan diri sendiri yang salah datang dan niat untuk bertamu walau sekedar."
happy,pastinya donk! semangat ya feminis muda belajar ict nya olvyt
happy,"Masak pagi ini sambil denger lagunya  yang berkolaborasi sama  Lagunya asik banget, masak juga #JADIBISA nambah asyik. Btw lagu ini buat #RameinBola piala dunia, loh. Coba deh dengerin juga lagunya di "
love,"Dengan apa kuharus meminta syafaatmu Ya sayyidi Ya Rasullullah? Jika dengan cinta,aku akan mencintai layaknya kau mencintai Dengan apa kuharus mencari Ridhamu Ya sayyidi Ya Rasullullah? Jika dengan akhlaq,aku akan menjaga Budi pekerti layaknya kau berbudi pekerti terhadap umatmu"
sadness,"Walaupun tidak terlalu banyak berinteraksi di kampus selain di kelas dan praktikum, tapi pengalaman paling berharga dengan beliau adalah ketika beliau menjadi penguji saat sidang skripsi. Hamba ridha ya Rabb di tanya ini itu oleh beliau"
anger,  .... Jakarta kembali diacak2 .... Begitulah kalau memilih pemimpin yang tidak punya kemampuan samasekali..... Warga yang menanggung derita.....
fear,Apa hukumnya bermain musik stad? jelas HAROOOOM hukumnya! Berdosa kita memainkannya! Begitulah kira-kira percakapan yang terjadi antara penanya dan seorang ustad disebuah acara tv yang intronya pake musik.
sadness,thenkyu cepat sembuh buat yang lagi kena db
anger,Ini kalau kita yang pose dengan atribut demikian bakal di laknat se-Indonesia di kata KOMUNIS LIBERAL ANTEK ASENG cc 
happy,  Alhamdulillah saya coba dengan password yang daftar seminggu lalu.. udah bisa dan tgl 16 dapat antriannya. Terimakasih
happy,Sejarah Indonesia mengajarkan bahwa ajaran Islam masuk ke Indonesia dengan cara damai. Nilai mengenai perdamaian inilah yang sampai saat ini terus dipegang oleh umat Islam Indonesia.#Jokowi2Periode
happy,wah keren ya ada dimana yang mirip begitu :d pakai baju koko sarung lebih keren :d liaitukalia: pakaianya diganti jadi
fear,sumpah td gue ketiduran jam 6.10 dan barusan gue bangun gara-gara mimpi dikejar setan gue mimpi di kejar miss k gue ga ngerti awal nya gmn yang gue inget awalnya
love,Masa mudaku. Ingin belajar dan berkelana. Agar kelak kita menikah nanti. Tidak melulu tentang pekerjaan dan rumah tangga. Aku ingin mengajakmu berkelana juga. Ke tempat yang pernah aku singgahi. Kemudian kamu bilang dan memeluk. Terimakasih sayang.
anger,Otak kalau memang dah goblok mo diajak bicara kemanapun selalu dia yang mau menang...di ke kiri kita ke kanan kita salah...sebaliknya juga kita yang salah selalu...kecuali kita ngikut dia baru bener tapi kdg itupun kalau ada mslh juga kita yang disalahin...SERAH LOE DEH ...
anger,"Enggak perlu banyak berandai-andai, hidup didunia real, enggak seperti di film ""Radit and Jani"". Gunakan pola pikir yang logis2 aja sekarang sih."
happy,#HappyJendeukieDay Happy birthday yang katanya mirip aku semoga makin cantik dan sayang eonnie yhaa! I laff yu
fear,"Astaghfirullah, sepanjang jalur manggarai - jatinegara ternyata masih aja ada petjun2 berkeliaran di bulan puasa. Sing sabar shayy sing tahan subhanallah dehh aku aja setop dulu cape di gembyor terus huft"
anger," Malam saya mau tanya kenapa benefit saya dibatalkan, saya bukan dropshiper dan saya rasa tidak ada aturan yang saya langgar. [SENSITIVE-NO]"
sadness,"Kadamg gitu kalo lagi kerja kelompok Bukannya egois pengennya sekelompok sama orang2 gue tapi..... Yg tau sifat gue gimana2, bljr2 gue kek gimana yaaa temenan gue...gaenak borr saya sekelompok sama orang rajin belajar,sedangkan gue yang apatuh mah"
anger,"Ngapain juga repot2 nyari jawaban. Kalau tidak, sudah cukup gak usah dijelasin macem2. Orang kalau sudah benci tertutup itu mata dan telinga. Urusan gitu aja Kok Repot "
sadness,nah diam lebih bagus yaudah saya diam saja deh -_- kepo deh memang tadi kemna haha
happy,character developmentnya sih gua paling suka walaupun emg filmnya pertamanya rada apa sih dan ostnya!!!! bagus!!! semua!!! gapaham!!!
fear,"Entah gatau kenapa, semakin bertambahnya umur malah semakin takut pacaran, takut dikhianati, ya semacam itu lah."
sadness,Ya nggak salah sih itu akun RP kasih saran agar doa cepet terkabul. Cuma ya lebih kasian lagi sama yang udah nyoba sarannya tapi ternyata malah ga terkabul2 doanya..
happy,"Respon positif dari Persib seperti ini yang diharapkan dari tim sekelas Persib, semoga tetap konsisten #PersibDay #Persibsalawasna #PERSIBlive #PSMSvPRSB #Liga1KitaSatu"
sadness,"i want bb ku yang lama balik :( the bb Kepler putih. aku cuma mau liat chat history ku waktu kelas 9, cuma mau baca ulang sekali lagi aja gapapa. I wanna know what did I miss."
anger,"Tapi angin2an sih. Kadang ditindak, kadang enggak. Gak konsisten, jadi gak fair. Siapa yang merasa gak fair, ya pmlik mbl yang pas parkir di situ, terus ditindak. Kitu sanes...??"
anger,"liat postingannya simba via ini yang terbaru, kok netijennya jahat2 ih... Dibilang lebai lah vianya.... Cedih Woi cewe baik"" kalau di dm yang nga2 mah pasti marah lah "
sadness,"Ketika orang minum obat penenang, dipandang sebelah mata. Ketika tidak minum, dibilang gila. Terserah apa kata orang lah. Tidak membuahkan solusi."
happy,"Gara gara kapan hari ngopi trus dengerin lagu lagu jadul jaman SD kaya tangga, ello, andien, audy. terus skrg bikin playlist lagu lagi yang seangkatan 2004-2005."
love,"gue sayang sama mereka karena mereka nerima gue apa adanya, jelek baiknya gue. dan mereka tuh no drama. anti banget malah. di saat oramg lain berantem sm temen mereka masing2, kita sama sekali ga ada masalah. dan percaya atau engga we never fight."
happy,Masih belum terbiasa dengan twitt mereka pake English But thank you  for make it easier to watching them  
anger,"Ga bs download melulu pak. Pdhl stock laporan banyak nih. Mbok ya dibenerin, sdh berapa lama ga kelar2 masalah di ios"
happy,"Abis take away beberapa menu Tulung Agung Pasar Baru. Sebelumnya, tiap kemari Dapy selalu makan Rawon doang. Tapi ini nyicipin 3 makanan berbeda sekaligus. Nasi Pecel sama Campurnya enak "
sadness,Tak seharusnya seperti ini Tiada lagi damai bersenandung Sejak api melahap ranting Tempat Pipit bertengger Memaksa aku Mengiyakan ingin mu Merubah aku bukan diriku Sedang takdir melambai Memanggil ku kembali
happy,"       Duwet maut ibarat bintang sepak bola belgia hazard, lukaku.saling melengkapi dan melayani dalam mencapei kemenangan.."
happy,Nyesel baru nonton film romcom The Wedding Planner. Matthew McConaughey jaman muda membuatku bahagia hanya dengan melihatnya... tertawa... #halah #baperlevelcupu #ngayalbabu
happy,Memang tidak ada manusia yang paling benar dalam tindak tanduknya. Tp SELALU ADA manusia yang mampu jadi benar setelah paham pernah salah dan tidak selalu menyalahkan sana sini dg hawa nafsunya
happy,"Melawan sibuk Selasamu, jangan patah semangat yah!"
fear,"barusan aku mau ke kamar mandi terus sampingnya kan kamar si mbah kan terus dia lagi nyanyi (nadanya doang gapake lirik) lagu jawa dong terus aku tanya kan mbah kenapa belom tidur terus dia ngomong ""ora usah ndok ora usah ndok"" berkali kali sambil kek ngusir gitu aku takut dong sampe gajadi pipis"
love,"Happy first mensive sayang  Maaf belum bisa jadi yang terbaik buat kamu, belum bisa bahagia in kamu sepenuhnya. Tpi gua selalu mencoba berubah jadi lebih baik buat aley  Ily bae  stay with me ya "
sadness," gue waktu itu buka kulkas , nah gua liat oren2 gua kira jeruk eh ternyata itu tomat anjir rasanya:))) mending kalo gue demen sayur lah ini makan tomat digadoin abis itu gue lepeh"
anger,Jadi bos tapi ga pny problem solving kok jadi gmn gt ya...ga tau akar masalahnya gmn jadi ya instan semua tar rusak lagi rusak lagi gitu aja teroos..
anger,"  bisa juga dengan sepatah awalan di depan kalimat: ""makanya.........."" ""Kan udah gue bilang......."" ""Ngotot sih dikasih tau......"" ""Pala batu sih....."" Et cetera~"
love,"Semoga Tuhan senantiasa menyertai setiap langkahmu, dan menjadikan hubungan kita ini makin kuat dalam menghadapi segala ujian kehidupan ini. I Love You"
anger," LU KIRA SEMUA ORANG PAS NGENTOT SADAR DIKELUARIN DIDALEM, PAS LAGI ENAK-ENAKNYA SEMPET GTU MIKIR KELUAR DIDALEM APA ENGGAK YA? ANJIR INI GUA JADI DARAH TINGGI MASA :("
love," Centil, rempong abis, gatau malu, cerewet parah, temen usil, koki terbaik sepanjang masa, yang paling sayang sm aku, yang bela belain nganter kesana kemari, dan 1001++ hal lain yang gabisa diungkapkan dengan kata kata wkwk"
anger,  .... Kamu sensara....??? Dasar Kampret busuk loe .... Bisa main medsos masih bicara rakyat sengsara.... Rakyat moyangmu yang sengsara...!!!
happy,"Karna orang(presiden kita jkw)ini memang dapat amanah buat mengerjakan ini,andai nyawa dia sendiri yang dimintak oleh IBU PERTIWI agar bangsa ini maju,sejahtera dan Adil beliu pasti berikan.salam aku buat sodara yang ada dipapua "
happy,dulu liat trailernya aku kagum. ide memadukan film laga nusantara dengan tampilan wild west terlihat menjanjikan. belum pernah aku tau sebelumnya. kreatif. makanya aku semacam berharap mendapatkan sajian yang istimewa.
fear,"singkat cerita, sikap die yang dulunya cool, cuek, cintad dark, pendiem abis, dan pemarah tb tb berubah jadi caper, humble, berwarna, karismatik, play boy gt, malah kalau menrut gua pribadi sikopatnya makin keliatan jelas."
love,"entah kenapa, di tempat ini aku merasa dekat sekali dengan sang pencipta. untuk itu aku selalu ingin mengunjungimu wukir mahendraku. "
love,Gue sayang sama orang yang sayang sama gue!
fear,"Kadang alasanku jadi penyimak abadi di grup chat ya cuma takut terabaikan, karna diabaikan kamu seorang saja sudah sakit, apalagi diabaikan sama semua orang yang ada di grup itu."
happy," gausah terobsesi untuk punya pacar, gapenting. masih 17 taun juga, santai ajaaaa :DD kalo kamu gamau ninggalin, malah cowok2 yang lebih baik gada yang bisa deketin kamu mba :D"
love,"Terimakasih. Pernah telah membuat warna dalam kertas putih, pernah merangkai bunga dalam vas kosong, pernah bernyanyi merdu diruang sunyi dan pernah menjadi kita dalam dalam satu ikatan."
sadness,Biarlah mereka memaki. Ada satu hal yang ingin ku tanyakan. Adaka tempat pendosa yang putus asa. Yang telah Menyakiti manusia untuk menyelamatkan keyakinannya.
fear,[askmf] klen yang kulitnya normal skincarenya byk ga si? :( aku pgn ngejaga kulit supaya bersih tapi takut knp2 kalau make macem2 terus masi kecil juga wkwk :(
happy,"happy birthday sender!! Wish you all the best,semoga ditahun ini kamu dikasih kesehatan selalu,sukses,dan orang"" makin sayang sama kamu. Once again,happy birthday !"
anger,"Dah dua tahun doi jadi spv jadi dah biasa aku tidur sendiri doi pulang subuh, paginy aku kerja dia tidur, aku plg dia udah brgkt. Pdhl serumah kdg 3 hari baru ketemu Gitu kok ya ada yang ngatain aku posesif gabisa ditinggal, pgn aku makan jadi lauk samyang"
sadness,"Wah iya banget ini mas, saya di tempat kerja sering banget dpt hal ga ngenakin. Mereka (cowok2) nganggepnya becandaan, yang cewe2 nganggepnya saya yang salah kenapa begini kenapa begitu"
happy,Akhirnya 2017 lalu memutuskan daftar gabung volunteer  yang Maret lalu berkesempatan ikut Local Leaders Day dari  di mana seluruh volunteer dari seluruh Indonesia berkumpul. Saling berbagi semangat dan berbagi Ilmu. Seru banget! #tAK8ERbatas
happy,"produce 48 versi indonesia pelatih Dance : agnes monica, bisma smash, cinta laura Vocal : bertha, mas anang, bunda maya Rap : younglex, soimah Mc : irfan hakim, gilang, ramzi, ayu dewi EXCITED NEH GUE WKWKKWKWK"
